Line #   | Statement                                          | #failedTests(s) | #passedTests(s) | total_failed | Suspiciousness 
----------------------------------------------------------------------------------------------------------------------------------
41       | void initialize()                                  | 0               | 1576            | 0            | 0.0            
43       |     Positive_RA_Alt_Thresh[0] = 400;               | 0               | 1576            | 0            | 0.0            
44       |     Positive_RA_Alt_Thresh[1] = 500;               | 0               | 1576            | 0            | 0.0            
45       |     Positive_RA_Alt_Thresh[2] = 640;               | 0               | 1576            | 0            | 0.0            
46       |     Positive_RA_Alt_Thresh[3] = 740;               | 0               | 1576            | 0            | 0.0            
47       | }                                                  | 0               | 1576            | 0            | 0.0            
49       | int ALIM()                                         | 0               | 562             | 0            | 0.0            
51       |     return Positive_RA_Alt_Thresh[Alt_Layer_Value] | 0               | 562             | 0            | 0.0            
54       | int Inhibit_Biased_Climb()                         | 0               | 884             | 0            | 0.0            
56       |     return (Climb_Inhibit ? Up_Separation + NOZCRO | 0               | 884             | 0            | 0.0            
59       | bool Non_Crossing_Biased_Climb()                   | 0               | 884             | 0            | 0.0            
66       |     if (Inhibit_Biased_Climb() > Down_Separation)  | 0               | 884             | 0            | 0.0            
67       |         upward_preferred = 1;                      | 0               | 477             | 0            | 0.0            
69       |         upward_preferred = 0;                      | 0               | 407             | 0            | 0.0            
71       |     if (upward_preferred)                          | 0               | 884             | 0            | 0.0            
73       |         result = !(Own_Below_Threat()) || ((Own_Be | 0               | 477             | 0            | 0.0            
74       |     }                                              | 0               | 477             | 0            | 0.0            
77       |         result = Own_Above_Threat() && (Cur_Vertic | 0               | 407             | 0            | 0.0            
79       |     return result;                                 | 0               | 884             | 0            | 0.0            
82       | bool Non_Crossing_Biased_Descend()                 | 0               | 884             | 0            | 0.0            
88       |     upward_preferred = Inhibit_Biased_Climb() > Do | 0               | 884             | 0            | 0.0            
89       |     if (upward_preferred)                          | 0               | 884             | 0            | 0.0            
91       |         result = Own_Below_Threat() && (Cur_Vertic | 0               | 477             | 0            | 0.0            
92       |     }                                              | 0               | 477             | 0            | 0.0            
95       |         result = !(Own_Above_Threat()) || ((Own_Ab | 0               | 407             | 0            | 0.0            
97       |     return result;                                 | 0               | 884             | 0            | 0.0            
100      | bool Own_Below_Threat()                            | 0               | 602             | 0            | 0.0            
